Spot_id,YMD,STN_ID,LAT,LON,Average_temperature,Sum_rainfall,Max_rainfall_1H,Max_rainfall_1H_occur_time,Average_humidity,Average_wind_speed
5503,20250517,414,37.61134,126.99981,23.8,3.5,3.5,1820,57.3,2.211.21854260.15.81804231.3225.01229.64.5
5503,20250517,419,37.55236,126.98736,25.4,4.0,3.5,1823,58.7,1.78.51836216.65.1022252.9202.50151.52.2
5503,20250518,108,37.57142,126.9658,21.0,-99.9,-99.9,0,31.0,2.69.71429200.05.21539270.0270.02278.42.4
5503,20250518,414,37.61134,126.99981,20.6,-99.9,-99.9,1,25.8,1.910.01506321.43.80041313.3292.51278.64.5
5503,20250518,419,37.55236,126.98736,21.0,-99.9,-99.9,1,23.9,1.89.11436266.35.00338285.6247.51263.02.2
5503,20250519,108,37.57142,126.9658,20.9,1.6,0.8,1945,46.0,2.89.81859180.05.71806180.0200.01201.02.4
5503,20250519,414,37.61134,126.99981,20.3,2.5,1.0,2101,39.8,2.210.32236233.04.71229224.6225.01228.24.5
5503,20250519,419,37.55236,126.98736,21.1,1.5,1.0,2045,39.8,1.87.1065693.45.4054279.5202.51111.22.2
5503,20250520,108,37.57142,126.9658,27.3,1.0,0.7,-235,69.0,2.59.31606180.05.21552200.0230.02226.52.4
5503,20250520,414,37.61134,126.99981,26.4,2.5,1.5,103,67.2,2.69.71606222.34.40603234.6225.02229.44.5
5503,20250520,419,37.55236,126.98736,28.0,0.5,0.5,30,67.9,0.95.60729268.51.81737193.2180.00196.42.2
5503,20250521,108,37.57142,126.9658,30.8,-99.9,-99.9,0,54.0,2.18.41839320.04.71848290.0270.01277.02.4
5503,20250521,414,37.61134,126.99981,30.3,-99.9,-99.9,1,47.4,1.66.11849326.13.51849308.5270.01274.34.5
5503,20250521,419,37.55236,126.98736,30.1,-99.9,-99.9,1,51.8,1.78.1121311.65.0122231.2247.51272.52.2
5503,20250522,108,37.57142,126.9658,28.5,0.8,0.7,456,39.0,2.16.6221770.03.81759200.050.0094.82.4
5503,20250522,414,37.61134,126.99981,27.9,-99.9,-99.9,1,36.3,1.86.7214760.13.2214847.867.5147.44.5
5503,20250522,419,37.55236,126.98736,28.0,1.0,0.5,538,38.2,2.17.9143851.35.3103334.645.0166.22.2
5503,20250523,108,37.57142,126.9658,22.2,1.2,0.8,2115,36.0,2.89.20113140.04.4121870.070.0273.42.4
5503,20250523,414,37.61134,126.99981,21.0,1.0,1.0,2226,33.0,2.37.2112769.83.6111464.145.0168.74.5
5503,20250523,419,37.55236,126.98736,19.8,1.0,1.0,2225,38.0,3.38.8231982.85.7214955.267.5378.92.2
5503,20250524,108,37.57142,126.9658,19.3,4.3,2.4,105,53.0,3.18.2125350.04.6055650.050.0356.32.4
5503,20250524,414,37.61134,126.99981,17.4,4.0,2.0,151,49.3,2.56.8163388.54.1180885.245.0262.24.5
5503,20250524,419,37.55236,126.98736,16.3,4.5,2.5,124,60.2,4.111.8102242.87.5102642.745.0454.52.2
5503,20250525,108,37.57142,126.9658,22.6,-99.9,-99.9,0,44.0,2.18.71408290.05.01314230.0270.01267.72.4
5503,20250525,414,37.61134,126.99981,21.8,-99.9,-99.9,1,41.7,1.68.91334224.93.91322302.5247.51258.64.5
5503,20250525,419,37.55236,126.98736,22.9,-99.9,-99.9,1,42.3,1.58.31214295.24.3000536.9225.00255.42.2
5503,20250526,108,37.57142,126.9658,26.2,-99.9,-99.9,0,36.0,1.76.71715290.04.01635270.0270.00270.12.4
5503,20250526,414,37.61134,126.99981,25.6,-99.9,-99.9,1,29.2,1.36.41627302.03.31645230.4292.50245.94.5
5503,20250526,419,37.55236,126.98736,25.8,-99.9,-99.9,1,35.7,1.35.01739236.33.2054776.4225.00179.72.2
5503,20250527,108,37.57142,126.9658,27.0,-99.9,-99.9,0,36.0,1.97.11815320.04.51817290.0270.00273.62.4
5503,20250527,414,37.61134,126.99981,26.7,-99.9,-99.9,1,29.1,1.37.31548323.43.21557246.6135.00223.14.5
5503,20250527,419,37.55236,126.98736,27.0,-99.9,-99.9,1,34.4,1.46.01825259.23.6035493.9225.00202.82.2
5504,20250501,108,37.57142,126.9658,17.6,21.1,9.0,1237,27.0,2.28.00646110.03.82112200.0230.01189.01.8
5504,20250501,412,37.57047,126.94078,17.5,20.0,9.0,1329,24.7,1.46.80700145.43.50644171.0157.50178.64.0
5504,20250501,419,37.55236,126.98736,16.5,21.0,8.0,1327,26.7,1.15.90656135.62.62318227.790.00118.32.3
5504,20250502,108,37.57142,126.9658,18.5,-99.9,-99.9,0,34.0,3.112.11545230.05.71308290.0250.02266.21.8
5504,20250502,412,37.57047,126.94078,18.2,-99.9,-99.9,1,33.1,1.29.71233322.43.11235334.1315.01312.84.0
5504,20250502,419,37.55236,126.98736,18.4,-99.9,-99.9,1,33.5,2.211.11307321.46.11311300.1247.52246.12.3
5504,20250503,108,37.57142,126.9658,14.0,7.3,2.2,402,47.0,2.39.31544270.05.31552250.0270.01269.31.8
5504,20250503,412,37.57047,126.94078,12.9,7.0,2.5,452,49.9,0.86.61433316.52.21427313.9315.00310.84.0
5504,20250503,419,37.55236,126.98736,14.0,8.0,2.5,448,56.4,1.68.61542260.74.21402270.2225.01248.52.3
5504,20250504,108,37.57142,126.9658,19.9,-99.9,-99.9,0,24.0,2.814.31252270.07.21324250.0250.02246.41.8
5504,20250504,412,37.57047,126.94078,20.0,-99.9,-99.9,1,22.4,1.211.41332317.53.61339299.8292.50280.94.0
5504,20250504,419,37.55236,126.98736,18.6,-99.9,-99.9,1,22.2,2.217.31425243.15.11418219.8225.02226.52.3
5504,20250505,108,37.57142,126.9658,15.0,-99.9,-99.9,0,53.0,2.38.7145520.05.0145550.050.0247.71.8
5504,20250505,412,37.57047,126.94078,14.6,-99.9,-99.9,1,51.7,1.06.0210152.32.3230469.567.5060.94.0
5504,20250505,419,37.55236,126.98736,13.2,-99.9,-99.9,1,53.8,3.811.4142239.28.6151433.345.0348.12.3
5504,20250506,108,37.57142,126.9658,19.5,-99.9,-99.9,0,36.0,2.27.91843270.04.71849250.0270.00296.81.8
5504,20250506,412,37.57047,126.94078,18.8,-99.9,-99.9,1,35.9,1.06.41344315.92.2065858.2315.00336.54.0
5504,20250506,419,37.55236,126.98736,18.3,-99.9,-99.9,1,38.0,3.18.81724327.46.0043246.245.0031.22.3
5504,20250507,108,37.57142,126.9658,21.1,-99.9,-99.9,0,39.0,2.28.41554270.05.11619270.0250.01246.71.8
5504,20250507,412,37.57047,126.94078,21.2,-99.9,-99.9,1,37.7,0.97.11535326.42.31431230.9315.00294.24.0
5504,20250507,419,37.55236,126.98736,22.0,-99.9,-99.9,1,35.0,1.57.51659269.13.41656261.2225.01230.32.3
5504,20250508,108,37.57142,126.9658,24.9,-99.9,-99.9,0,24.0,1.87.61801290.04.91752290.0270.00242.21.8
5504,20250508,412,37.57047,126.94078,24.7,-99.9,-99.9,1,23.7,0.86.81721328.72.41450226.8180.00212.84.0
5504,20250508,419,37.55236,126.98736,25.1,-99.9,-99.9,1,25.3,1.68.61828275.83.71826263.4225.00118.62.3
5504,20250509,108,37.57142,126.9658,17.4,17.6,3.6,1439,51.0,3.010.8125570.05.9142150.050.0360.71.8
5504,20250509,412,37.57047,126.94078,16.8,17.0,4.0,1534,48.0,1.59.51709153.53.31639169.467.50118.94.0
5504,20250509,419,37.55236,126.98736,17.2,7.5,2.0,1641,39.3,4.115.0141535.17.9141555.567.5461.72.3
5504,20250510,108,37.57142,126.9658,15.3,14.1,2.7,-235,92.0,3.510.90759230.06.00902230.0200.03208.61.8
5504,20250510,412,37.57047,126.94078,14.6,13.0,3.0,49,95.1,1.47.41342260.42.90345197.5225.01234.44.0
5504,20250510,419,37.55236,126.98736,13.8,10.5,2.5,45,100.0,1.57.30620238.82.51144215.5202.51205.12.3
5504,20250511,108,37.57142,126.9658,20.2,-99.9,-99.9,0,55.0,1.97.61732270.04.71711270.0270.00231.71.8
5504,20250511,412,37.57047,126.94078,20.2,-99.9,-99.9,1,56.5,0.85.81803318.92.11655307.9180.00231.54.0
5504,20250511,419,37.55236,126.98736,20.6,-99.9,-99.9,1,55.7,1.04.81623245.22.4070488.5225.00209.92.3
